mixed_sound_id,true_band_score,true_mfcc_score,null_band_mean_L1,null_mfcc_mean_L1,null_band_std_L1,null_mfcc_std_L1,null_band_mean_L2,null_mfcc_mean_L2,null_band_std_L2,null_mfcc_std_L2,null_band_mean_L3,null_mfcc_mean_L3,null_band_std_L3,null_mfcc_std_L3
M0018,-0.9320355886912389,-63.16572189331055,-0.3467964591659064,-48.24280776977539,0.10560473316043532,17.796189112911485,-0.387653333256869,-43.99450416564942,0.29534528215398376,20.70548068970532,-0.6250944369875193,-42.20590515136719,0.2548098429189581,4.3853575779346405
M0019,-0.04980707285213805,-33.56491470336914,-0.2922050388283274,-39.88642578125,0.1728452959762071,12.01361288968626,-0.3359535243716905,-33.60089263916016,0.22136509344440092,14.915278127756457,-0.2003071224688751,-41.14806022644043,0.32327217338477077,11.195378264425173
M0020,-0.8358912412162287,-41.9232292175293,-0.7141838417389798,-90.27424774169921,0.2977689250809579,24.07054100579843,-0.4634227668155829,-58.35146636962891,0.3642344104026574,13.428884174849491,-0.47631044531908256,-52.91899490356445,0.25444455302705804,20.799935342745446
M0021,-1.04709990618939,-63.12909698486328,-0.46677002446165206,-74.63522872924804,0.41314855655767574,31.280067829875414,-1.1373253768475795,-56.47071838378906,0.24301846452220796,6.03146306347209,-0.9541867561680363,-57.09867172241211,0.2433207554058685,18.794427507918183
M0022,-0.9113947843241961,-145.84957885742188,-0.5658449195708043,-109.4745880126953,0.22747779680077598,28.10533737414993,-0.7473092330055472,-125.14281463623047,0.14360558749267852,0.6071862814914838,-0.7115950936833575,-110.2795394897461,0.11725049807686132,4.920502638386355
M0023,-0.08470626869345793,-34.13491439819336,-0.18750503458215814,-55.279610824584964,0.1469422832090831,25.736345493244468,-0.2854602850764255,-40.23717918395996,0.24876962515556778,5.44690875379368,-0.18100742728774896,-34.05758514404297,0.12848001495281822,7.899051243672285
M0024,-0.4253140868974732,-38.536231994628906,-0.15931930652392204,-68.81984634399414,0.08185785370204736,16.29056349145676,-0.17017908783306732,-49.93857955932617,0.09988690866556511,0.8945116852869348,-0.3731959408191809,-57.05179672241211,0.19011817499779093,5.951916848393829
M0025,-0.26426036917980167,-77.40391540527344,-0.5031047293807,-76.64269409179687,0.43203373503597814,42.97312270617888,-0.4749670151970145,-99.84268341064453,0.14335058728963712,29.985087494008233,-0.5851913565485202,-74.95545120239258,0.33085360639626166,12.76688024091268
M0026,-0.5917786467373812,-41.05534362792969,-0.5268440150501962,-51.5113166809082,0.4644863077387197,19.68199260025357,-0.3898533528035806,-48.03442535400391,0.1976400176478446,6.211797489078967,-0.28102199730024946,-48.30464324951172,0.36000747410918593,14.387693523337319
M0027,-0.563126701299086,-152.77122497558594,-0.335526739067344,-105.09222030639648,0.24371640645787243,28.70071972039339,-0.2930985190692653,-122.98109893798828,0.1457981729966202,11.08053423879194,-0.39666506741593577,-133.611669921875,0.19862872181903415,16.140730199404658
M0028,-0.14112659614862483,-65.69677734375,-0.20755438459409997,-53.84002532958984,0.14343483848792954,16.40422552688298,-0.17193900859500316,-48.54947128295898,0.053386372884942856,17.114074632013555,-0.2672863676033794,-48.25376167297363,0.21635605215439424,20.22566666109174
M0029,-0.5250465612181863,-76.12001037597656,-0.8146002797214422,-77.89959945678712,0.17160401138487036,23.266035614647492,-0.8452938560130239,-69.44851760864258,0.31665369353221007,11.792046626515333,-0.8123911081895402,-73.8349510192871,0.33921967359174116,12.958449214513852
M0030,-1.158919263449286,-69.05520629882812,-0.7775716499447272,-90.00174903869629,0.3882076327168755,40.244593309686614,-0.9482126174320733,-62.18324737548828,0.14335058728963704,9.894098001683837,-0.8379882760805678,-67.73147888183594,0.3308536063962617,11.658046792748307
M0031,-0.07935705065137127,-47.943450927734375,-0.33115965861054414,-54.77125549316406,0.08948016502257494,22.75925273002389,-0.1763698618948084,-45.019117736816405,0.036989689303929416,6.2731984983643265,-0.16737671519648095,-46.083213806152344,0.0566606082746298,9.514276618911879
M0032,-0.8416487558943605,-81.69560241699219,-1.4106807092610676,-107.49555969238281,0.196318001898765,11.295631976249549,-1.0579830541822597,-75.9119873046875,0.2636896269471642,15.710350874641918,-1.6592851525052033,-107.07024993896485,0.027305837008398247,11.989974892303076
M0033,-0.20019463379069263,-51.61193084716797,-0.26499602421780044,-96.7160629272461,0.17835142261739034,16.915994539922842,-0.20117756842309548,-47.05201416015625,0.14230778216619755,7.513838731194565,-0.12775159427391386,-54.01093063354492,0.08248802103198219,15.678390870847588
M0034,-0.07843760751112623,-24.26692771911621,-0.49192356578543367,-75.59568557739257,0.429164844172896,23.084661739318808,-0.17846552125834933,-61.844757843017575,0.17217220827433188,17.347759310467595,-0.36896415311997277,-44.94080276489258,0.3001840125709646,12.929264278459906
M0035,-0.10070729465815828,-36.12601089477539,-0.3631466173165343,-65.23806457519531,0.1145536764936145,28.002300804960612,-0.40760617225143864,-33.6886869430542,0.2609324836680535,18.60363212194126,-0.08774847637702532,-51.852667236328124,0.060523114589184177,13.263657907782433
